time;current_supply;current_sbd_supply;pending_rewarded_vesting_shares;pending_rewarded_vesting_steem;total_pow;total_vesting_fund_steem; total_vesting_shares;virtual_supply;account_count
1503071874;253684887.691;3502200.045;271765260.160261;131454.008;514415;183130379.582;377894803252.481100;256751612.774;316427
1503071904;253684910.945;3502199.590;271761968.444888;131452.413;514415;183130388.148;377894813974.966028;256751635.629;316427
1503071934;253684943.209;3502188.855;271753080.227062;131448.106;514415;183130406.784;377894845477.417049;256751658.493;316428
1503071964;253684927.861;3502231.417;271867632.981447;131503.619;514415;183130413.144;377894851646.337693;256751680.415;316428
1503071994;253684950.493;3502231.682;271855433.368829;131497.707;514415;183130425.446;377894870077.807749;256751703.279;316428
1503072024;253684972.408;3502231.903;271851102.007552;131495.608;514415;183130433.519;377894879782.598024;256751725.387;316429
1503072054;253684962.310;3502268.681;271937330.633361;131537.395;514415;183130443.053;377894892502.356160;256751747.494;316429
1503072084;253684984.462;3502269.494;271909637.848667;131523.975;514415;183130464.003;377894928779.422536;256751770.358;316429
1503072114;253685005.449;3502270.774;271889877.348908;131514.399;514415;183130480.628;377894956131.648458;256751792.466;316429
1503072144;253686189.335;3500944.022;271887601.248091;131513.296;514415;183130489.465;377894967412.994103;256751814.573;316429
1503072174;253686207.443;3500949.453;271866724.473532;131503.179;514415;183130506.722;377894996068.691027;256751837.436;316429
1503072204;253686218.947;3500962.425;271889652.265154;131514.290;514415;183130517.525;377895011407.013017;256751860.299;316429
1503072234;253686238.460;3500966.249;271821421.404519;131481.225;514415;183130534.283;377895039033.601610;256751883.161;316429
1503072264;253686258.544;3500968.557;271819679.677056;131480.381;514415;183130543.450;377895050995.993073;256751905.266;316429
1503072294;253686280.389;3500968.827;271878114.044993;131508.699;514415;183130566.247;377895091084.908110;256751927.347;316429
1503072324;253686283.678;3500991.178;271931103.259306;131534.378;514415;183130579.066;377895110583.402301;256751950.208;316429
1503072354;253686287.702;3501011.831;271987908.107333;131561.906;514415;183130589.815;377895125810.222977;256751972.317;316429
1503072384;253686304.609;3501018.633;272006925.607906;131571.122;514415;183130595.870;377895131350.796181;256751995.180;316429
1503072414;253686321.812;3501024.233;272021242.371729;131578.060;514415;183130601.155;377895135298.677796;256752017.287;316430
1503072444;253686301.898;3501072.223;272141226.210585;131636.205;514415;183130612.731;377895152232.167118;256752039.396;316430
1503072474;253686323.028;3501074.202;272145126.282746;131638.095;514415;183130746.708;377895421743.370505;256752062.259;316430
1503072504;253686345.856;3501074.234;272140132.464629;131635.675;514415;183130755.188;377895432288.078959;256752085.115;316430
1503072534;253686353.612;3501090.622;272069406.455494;131601.401;514415;183130816.580;377895552018.809479;256752107.221;316430
1503072564;253686372.541;3501095.115;272079598.203904;131606.340;514415;183130825.283;377895563023.640564;256752130.084;316430
1503072594;253686319.791;3501180.603;272320513.338389;131723.089;514415;183130830.827;377895567509.751426;256752152.192;316430
1503072624;253686340.368;3501182.350;272327983.311227;131726.709;514415;183130836.931;377895573149.453269;256752174.299;316431
1503072654;253686356.058;3501189.678;272307560.342286;131716.812;514415;183130859.997;377895613792.952756;256752196.406;316431
1503072684;253686378.477;3501190.187;272306959.839093;131716.521;514415;183130866.886;377895621054.525112;256752219.271;316431
1503072714;253686376.038;3501217.882;272337525.781455;131731.335;514415;183130901.746;377895686036.297681;256752241.083;316431
1503072744;253686368.728;3501251.465;272435403.156412;131778.767;514415;183130908.037;377895692063.862170;256752263.180;316433
1503072774;253686389.660;3501253.670;272437648.270469;131779.855;514415;183130915.351;377895700200.433704;256752286.043;316433
1503072804;253686411.913;3501254.358;272456273.546255;131788.881;514415;183130955.435;377895775960.969788;256752308.898;316434
1503072834;253686433.647;3501254.782;272455693.608889;131788.600;514415;183130949.228;377895756196.502041;256752331.004;316434
1503072864;253686445.313;3501266.706;272483744.642917;131802.194;514415;183130956.627;377895764511.056910;256752353.111;316434
1503072894;253686465.005;3501269.460;272487283.588378;131803.909;514415;183130963.896;377895772554.772917;256752375.215;316434
1503072924;253686481.370;3501276.880;272506821.090674;131813.377;514415;183130971.600;377895781498.105621;256752398.077;316435
1503072954;253686502.173;3501278.369;272507925.040562;131813.912;514415;183131009.578;377895852910.711974;256752420.184;316435
1503072984;253686524.970;3501278.446;272507673.078774;131813.791;514415;183131021.681;377895870933.787798;256752443.048;316435
1503073014;253686532.316;3501295.291;272486385.533467;131803.475;514415;183131035.945;377895893412.469523;256752465.145;316435
1503073044;253686554.132;3501296.486;272486806.429732;131803.679;514415;183131042.722;377895900440.075975;256752488.007;316435
1503073074;253686574.449;3501299.394;272463794.307854;131792.528;514415;183131075.806;377895961757.464877;256752510.871;316435
1503073104;253686591.914;3501304.692;272458612.762580;131790.017;514415;183131110.865;377896027148.624111;256752532.975;316435
1503073134;253686612.233;3501307.596;272354534.434181;131739.580;514415;183131170.845;377896143964.632536;256752555.837;316435
1503073164;253686630.706;3501311.746;272360778.612792;131742.606;514415;183131172.189;377896139783.743331;256752577.944;316436
1503073194;253686651.521;3501313.219;272356725.838474;131740.642;514415;183131180.947;377896150902.038652;256752600.049;316436
1503073224;253686669.208;3501319.130;272374383.463081;131749.199;514415;183131187.464;377896157395.958316;256752622.912;316437
1503073254;253686656.920;3501358.406;272473762.643889;131797.359;514415;183131196.342;377896168762.288264;256752645.016;316437
1503073284;253686660.631;3501380.276;272567353.951806;131842.714;514415;183131202.754;377896175039.622029;256752667.877;316437
1503073314;253686677.058;3501387.626;272615584.637520;131866.087;514415;183131214.722;377896192782.036947;256752690.741;316437
1503073344;253686693.887;3501393.610;272632451.917018;131874.261;514415;183131220.431;377896197608.639617;256752712.809;316437
1503073374;253686696.437;3501416.806;272664219.865092;131889.656;514415;183133430.544;377900751282.224328;256752735.671;316437
